TIMESTAMP,CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl,anomaly
1704586723034250100,14.5,59.6,1417,878,0,1,0,0,0,0,1,0,0,0,0,0,0
1704586724058189400,19.0,59.6,795,561,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586725081119500,10.9,59.6,1058,458,0,2,0,0,0,0,1,0,0,0,0,0,0
1704586726104064400,12.8,59.6,1015,795,0,3,0,0,0,0,1,0,0,0,0,0,0
1704586727126994400,17.8,59.6,946,511,0,2,0,0,0,0,2,0,0,0,0,0,0
1704586728149924200,13.4,59.6,1174,525,0,1,1,0,0,0,0,0,0,0,0,0,0
1704586729163854000,24.4,59.5,1321,812,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586730178279400,13.1,59.6,812,459,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586731199207900,12.6,59.6,1088,524,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586732223642600,18.1,59.6,662,552,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586733245579900,11.4,59.5,448,925,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586734268510100,16.1,59.6,685,1039,0,3,0,0,1,0,0,0,0,0,0,0,0
1704586735287452500,18.9,59.6,164,1334,0,3,0,1,0,0,0,0,0,0,0,0,0
1704586736310382600,16.5,59.6,515,1278,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586737332815700,17.7,59.6,1042,871,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586738346746200,18.1,59.6,591,1125,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586739359666900,14.1,59.6,1115,367,0,2,1,0,0,0,0,0,0,0,0,0,0
1704586740374589300,11.3,59.6,1163,341,0,0,15,0,0,0,0,0,0,0,0,0,0
1704586741393019800,16.1,59.6,455,752,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586742415949800,25.7,59.6,702,675,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586743438879700,13.4,59.6,684,772,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586744459325700,14.5,59.6,891,573,0,1,0,0,0,0,0,0,0,0,0,0,0
