CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
36.3,65.7,1462,703,0,1,0,0,0,0,0,0,0,0,0,0
20.4,65.6,1883,191,0,1,0,0,0,0,0,0,0,0,0,0
28.7,65.9,1206,771,0,0,0,0,0,0,0,0,0,0,0,0
23.8,66.2,1151,797,0,0,0,0,0,0,0,0,0,0,0,0
17.9,66.3,1134,804,0,0,0,0,0,0,0,0,0,0,0,0
17.9,66.3,1081,821,0,0,0,0,0,0,0,0,0,0,0,0
25.5,66.3,1081,821,0,0,0,0,0,0,0,0,0,0,0,0
16.9,66.3,1081,821,0,0,0,0,0,0,0,0,0,0,0,0
15.6,66.3,705,837,0,1,0,0,0,0,0,0,0,0,0,0
14.0,66.3,1064,520,0,2,0,0,0,0,0,0,0,0,0,0
15.8,66.3,1255,0,0,0,0,0,0,0,0,0,0,0,0,0
25.1,66.4,1030,740,0,0,0,0,0,0,0,0,0,0,0,0
11.9,66.4,1015,740,0,0,0,0,0,0,0,0,0,0,0,0
14.6,66.4,12,1122,0,0,0,0,0,0,0,0,0,0,0,0
23.2,66.3,1551,525,0,0,0,0,0,0,0,0,0,0,0,0
12.6,66.2,1553,525,0,0,0,0,0,0,0,0,0,0,0,0
13.4,66.1,1553,525,0,0,0,0,0,0,0,0,0,0,0,0
18.1,66.0,1477,559,0,0,0,0,0,0,0,0,0,0,0,0
14.0,66.0,1284,1439,0,1,0,0,0,0,0,0,0,0,0,0
14.8,65.9,1560,699,0,0,0,0,0,0,0,0,0,1,0,0
13.2,66.0,1440,1336,0,0,0,0,0,0,0,0,0,0,0,0
14.3,66.0,1495,342,0,2,0,0,0,0,0,0,0,0,0,0
12.1,66.0,1410,296,0,3,0,0,0,0,0,0,0,0,0,0
19.1,65.7,1148,249,0,0,0,0,0,0,0,0,0,0,0,0
19.8,65.6,1412,202,0,1,0,0,0,0,0,0,0,0,0,0
14.3,65.7,1376,964,0,1,0,0,0,0,0,0,0,0,0,0
12.8,65.7,1362,855,0,1,0,0,0,0,0,0,0,0,0,0
14.0,65.7,1411,788,0,2,0,0,0,0,0,0,0,0,0,0
13.6,65.7,1285,963,0,2,0,0,0,0,0,0,0,0,0,0
16.6,65.6,1493,941,0,1,0,0,0,0,0,0,0,0,0,0
14.6,65.7,1469,801,0,1,0,0,0,0,0,0,0,0,0,0
19.5,65.7,1066,1054,0,2,0,0,0,0,1,0,0,0,0,0
18.1,65.7,1122,485,0,1,0,0,0,0,0,0,0,0,0,0
15.5,65.6,1345,709,0,0,0,0,0,0,0,0,0,0,0,0
21.6,65.6,1251,582,0,1,0,0,0,0,0,0,0,0,0,0
15.0,65.7,1134,696,0,1,0,0,0,0,1,0,0,0,0,0
