TIMESTAMP,CPU,MEMORY,MOUSE_POSITION,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1704412832002134900,15.6,62.9,"(1189, 890)",0,0,0,0,0,0,1,0,0,0,0,0
1704412833025065400,14.6,62.9,"(1707, 297)",0,2,0,0,0,0,0,0,0,0,0,0
1704412834555960200,16.6,62.9,"(1016, 796)",0,2,0,0,0,0,0,0,0,0,0,0
1704412835574886700,19.0,62.9,"(1116, 795)",0,1,0,0,0,0,0,0,0,0,0,0
1704412836089354900,14.5,62.9,"(1069, 845)",0,3,1,0,0,0,0,0,0,0,0,0
1704412837622748100,36.1,63.1,"(985, 453)",0,0,0,0,0,0,0,0,0,0,0,0
1704412838135214300,44.8,63.5,"(960, 749)",0,0,0,0,0,0,1,0,0,0,0,0
1704412839156142100,15.4,63.6,"(939, 478)",0,0,0,0,0,0,1,0,0,0,0,0
1704412840685035900,16.6,63.6,"(969, 507)",0,0,0,0,0,0,0,0,0,0,0,0
1704412841199503100,10.1,63.6,"(969, 507)",0,0,0,0,0,0,0,0,0,0,0,0
1704412842224435200,14.8,63.6,"(924, 840)",0,0,0,0,0,0,0,0,0,0,0,0
1704412843243361100,17.5,63.6,"(884, 1243)",0,1,0,0,0,0,0,0,0,0,0,0
1704412844267796200,14.5,63.6,"(932, 644)",0,1,0,0,0,0,1,0,0,0,0,0
1704412845292728300,20.1,63.5,"(964, 453)",0,0,0,0,0,0,0,0,0,0,0,0
1704412846313656000,15.7,63.2,"(987, 573)",0,0,0,0,0,0,0,0,0,0,0,0
1704412847841044900,18.2,63.2,"(1017, 225)",0,0,0,0,0,0,0,0,0,0,0,0
1704412848357514400,10.6,63.2,"(731, 1305)",0,0,0,0,0,0,0,0,0,0,0,0
1704412849379946800,10.8,63.2,"(986, 719)",0,0,0,0,0,0,1,0,0,0,0,0
1704412850402380000,17.0,63.1,"(1199, 722)",0,2,0,0,0,0,1,0,0,0,0,0
1704412851423307800,12.1,63.2,"(1156, 368)",0,2,0,0,0,0,0,0,0,0,0,0
1704412852443235300,11.8,63.2,"(989, 401)",0,2,0,0,0,0,0,0,0,0,0,0
1704412853466669600,13.7,63.2,"(1125, 216)",0,0,0,0,0,0,0,0,0,0,0,0
1704412854996059600,10.8,63.2,"(968, 727)",0,1,0,0,0,0,0,0,0,0,0,0
1704412855511528300,11.7,63.2,"(1018, 584)",0,0,0,0,0,0,1,0,0,0,0,0
1704412856533457300,13.1,63.2,"(823, 831)",1,0,0,0,0,0,0,0,0,0,0,0
1704412857554385700,14.5,63.2,"(1083, 636)",0,0,0,0,0,0,0,0,0,0,0,0
1704412858577315700,16.1,63.2,"(997, 438)",0,0,0,0,0,0,0,0,0,0,0,0
1704412859599748700,13.3,63.2,"(934, 33)",0,3,0,0,0,0,0,0,0,0,0,0
